station_name,location,time_of_day,start_station_count,end_station_count,total_station_traffic
Central Park S & 6 Ave,"40.76590936,-73.97634151",Morning,5068,6041,11109
West St & Chambers St,"40.71754834,-74.01322069",Morning,3245,3907,7152
Centre St & Chambers St,"40.71273266,-74.0046073",Morning,2848,4121,6969
Grand Army Plaza & Central Park S,"40.7643971,-73.97371465",Morning,3181,3716,6897
12 Ave & W 40 St,"40.76087502,-74.00277668",Morning,3280,3392,6672
Pershing Square North,"40.751873,-73.977706",Morning,2603,2895,5498
Broadway & W 49 St,"40.76068327096592,-73.9845272898674",Morning,3277,1880,5157
E 17 St & Broadway,"40.73704984,-73.99009296",Morning,1877,3215,5092
Washington St & Gansevoort St,"40.739323,-74.008119",Morning,2162,2597,4759
Broadway & W 24 St,"40.7423543,-73.98915076",Morning,2258,2458,4716
Broadway & W 60 St,"40.76915505,-73.98191841",Morning,2081,2431,4512
5 Ave & E 73 St,"40.77282817,-73.96685276",Morning,1771,2696,4467
Cleveland Pl & Spring St,"40.722103786686034,-73.997249007225037",Morning,1782,2449,4231
W 20 St & 11 Ave,"40.746745,-74.007756",Morning,1995,2224,4219
Broadway & W 58 St,"40.76695317,-73.98169333",Morning,2018,2179,4197
Broadway & E 14 St,"40.73454567,-73.99074142",Morning,1805,2296,4101
8 Ave & W 31 St,"40.75044999,-73.99481051",Morning,2203,1848,4051
W 34 St & 11 Ave,"40.75594159,-74.0021163",Morning,1382,2640,4022
South End Ave & Liberty St,"40.711512,-74.015756",Morning,1837,2155,3992
Broadway & W 29 St,"40.7462009,-73.98855723",Morning,2297,1538,3835
Broadway & E 22 St,"40.7403432,-73.98955109",Morning,1384,2420,3804
Little West St & 1 Pl,"40.70569254,-74.01677685",Morning,1296,2359,3655
Vesey Pl & River Terrace,"40.7153379,-74.01658354",Morning,1925,1689,3614
8 Ave & W 33 St,"40.751551,-73.993934",Morning,1891,1707,3598
Broadway & W 41 St,"40.75513557,-73.98658032",Morning,1808,1692,3500
S 5 Pl & S 4 St,"40.710451,-73.960876",Morning,1780,1705,3485
E 33 St & 5 Ave,"40.74765947,-73.98490707",Morning,1522,1877,3399
6 Ave & W 33 St,"40.74901271,-73.98848395",Morning,1216,2076,3292
Central Park West & W 72 St,"40.775793766836657,-73.9762057363987",Morning,1386,1845,3231
Pier 40 - Hudson River Park,"40.7277140777778,-74.011295735836029",Morning,1832,1370,3202
Lafayette St & E 8 St,"40.73028666,-73.9907647",Morning,1469,1718,3187
Carmine St & 6 Ave,"40.73038599,-74.00214988",Morning,1473,1706,3179
Broadway & W 51 St,"40.76228826,-73.98336183",Morning,1981,1157,3138
5 Ave & E 88 St,"40.78307,-73.95939",Morning,1141,1957,3098
Barrow St & Hudson St,"40.73172428,-74.00674436",Morning,1784,1291,3075
5 Ave & E 78 St,"40.776828634399678,-73.963887691497789",Morning,1274,1800,3074
Christopher St & Greenwich St,"40.73291553,-74.00711384",Morning,1537,1529,3066
W 21 St & 6 Ave,"40.74173969,-73.99415556",Morning,1358,1684,3042
W 52 St & 5 Ave,"40.75992262,-73.97648516",Morning,1054,1965,3019
W 27 St & 7 Ave,"40.746647,-73.993915",Morning,1787,1211,2998
5 Ave & E 29 St,"40.7451677,-73.98683077",Morning,1649,1306,2955
Barclay St & Church St,"40.71291224,-74.01020234",Morning,1040,1883,2923
University Pl & E 14 St,"40.73492695,-73.99200509",Morning,1164,1752,2916
W 37 St & 5 Ave,"40.75038009,-73.98338988",Morning,1512,1366,2878
E 40 St & 5 Ave,"40.752062307,-73.9816324043",Morning,1232,1637,2869
Broadway & Battery Pl,"40.70463334,-74.01361706",Morning,948,1901,2849
Broadway & W 53 St,"40.76344058,-73.98268129",Morning,1685,1149,2834
E 39 St & 3 Ave,"40.7489006,-73.97604882",Morning,1770,1052,2822
11 Ave & W 27 St,"40.751396,-74.005226",Morning,1131,1659,2790
Mott St & Prince St,"40.72317958,-73.99480012",Morning,1259,1507,2766
W 22 St & 10 Ave,"40.74691959,-74.00451887",Morning,1244,1503,2747
W 14 St & The High Line,"40.74195138,-74.00803013",Morning,1059,1680,2739
W 38 St & 8 Ave,"40.75466591,-73.99138152",Morning,1548,1178,2726
Broadway & W 55 St,"40.7652654,-73.98192338",Morning,1707,1010,2717
W 44 St & 5 Ave,"40.75500254,-73.98014437",Morning,1338,1299,2637
Broadway & W 32 St,"40.74854862,-73.98808416",Morning,1329,1287,2616
Bus Slip & State St,"40.701907,-74.013942",Morning,860,1748,2608
W Broadway & Spring St,"40.72490985,-74.00154702",Morning,1024,1560,2584
Pershing Square South,"40.751581,-73.97791",Morning,1332,1246,2578
Greenwich St & W Houston St,"40.728846,-74.008591",Morning,1276,1302,2578
South St & Gouverneur Ln,"40.70355377,-74.00670227",Morning,1368,1175,2543
Greenwich Ave & 8 Ave,"40.7390169121,-74.0026376103",Morning,1321,1193,2514
W 33 St & 7 Ave,"40.75019995,-73.99093085",Morning,1262,1234,2496
W 46 St & 11 Ave,"40.76341379,-73.99667444",Morning,1123,1373,2496
W 45 St & 6 Ave,"40.7568001,-73.98291153",Morning,1264,1223,2487
W 18 St & 6 Ave,"40.73971301,-73.99456405",Morning,981,1493,2474
Old Fulton St,"40.70277159,-73.99383605",Morning,849,1622,2471
6 Ave & Canal St,"40.72243797,-74.00566443",Morning,1284,1183,2467
MacDougal St & Prince St,"40.72710258,-74.00297088",Morning,1133,1319,2452
W 45 St & 8 Ave,"40.75929124,-73.98859651",Morning,1252,1197,2449
8 Ave & W 31 St,"40.7505853470215,-73.9946848154068",Morning,577,1848,2425
Broadway & W 36 St,"40.75097711,-73.98765428",Morning,1190,1221,2411
Liberty St & Broadway,"40.70905623,-74.01043382",Morning,1040,1365,2405
W 41 St & 8 Ave,"40.75640548,-73.9900262",Morning,1310,1073,2383
E 32 St & Park Ave,"40.7457121,-73.98194829",Morning,1173,1206,2379
W 31 St & 7 Ave,"40.749156,-73.9916",Morning,1454,920,2374
1 Ave & E 44 St,"40.75001986,-73.96905301",Morning,973,1391,2364
W 16 St & The High Line,"40.74334935,-74.00681753",Morning,1043,1291,2334
8 Ave & W 52 St,"40.76370739,-73.9851615",Morning,1226,1096,2322
Great Jones St,"40.72743423,-73.99379025",Morning,1079,1238,2317
E 39 St & 2 Ave,"40.74780373,-73.9734419",Morning,1280,1028,2308
Broadway & W 39 St,"40.75299641,-73.98721619",Morning,1212,1052,2264
W 26 St & 10 Ave,"40.749717753,-74.002950346",Morning,911,1317,2228
E 30 St & Park Ave S,"40.74444921,-73.98303529",Morning,1174,1048,2222
